time,ang_velY
0,-0.67138671875
0.0,-0.67138671875
0.0,-0.48828125
0.0,-0.6103515625
0.0,-0.67138671875
0.0,-0.48828125
0.0,-0.42724609375
0.0,-0.3662109375
0.0,-0.79345703125
0.0,-0.48828125
0.0,-0.6103515625
0.0,-0.6103515625
0.0,-0.6103515625
0.0,-0.54931640625
0.0,-0.67138671875
0.0,-0.6103515625
0,-0.79345703125
24.75,-0.8544921875
49.5,-0.732421875
74.25,-0.79345703125
99.0,-0.79345703125
123.75,-0.91552734375
148.5,-0.8544921875
173.25,-0.9765625
198.0,-0.79345703125
222.75,-0.9765625
247.5,-0.91552734375
272.25,-0.79345703125
297.0,-0.8544921875
321.75,-0.8544921875
346.5,-0.8544921875
371.25,-0.91552734375
396,-1.708984375
420.5,-1.46484375
445.0,-1.40380859375
469.5,-1.28173828125
494.0,-1.28173828125
518.5,-1.03759765625
543.0,-0.8544921875
567.5,-0.732421875
592.0,-0.79345703125
616.5,-0.30517578125
641.0,-0.3662109375
665.5,-0.48828125
690.0,-0.79345703125
714.5,-1.0986328125
739.0,-1.28173828125
763.5,-1.46484375
788,-10.6201171875
812.5625,-10.986328125
837.125,-11.41357421875
861.6875,-11.65771484375
886.25,-12.14599609375
910.8125,-13.36669921875
935.375,-13.85498046875
959.9375,-14.34326171875
984.5,-0.79345703125
1009.0625,-15.68603515625
1033.625,-16.6015625
1058.1875,-17.15087890625
1082.75,-18.06640625
1107.3125,-19.53125
1131.875,-20.32470703125
1156.4375,-21.1181640625
1181,-3.7841796875
1205.5625,-4.57763671875
1230.125,-5.67626953125
1254.6875,-6.34765625
1279.25,-4.39453125
1303.8125,-4.150390625
1328.375,-4.57763671875
1352.9375,-6.40869140625
1377.5,-0.79345703125
1402.0625,-7.26318359375
1426.625,-7.50732421875
1451.1875,-6.04248046875
1475.75,-5.43212890625
1500.3125,-5.55419921875
1524.875,-7.38525390625
1549.4375,-8.30078125
1574,-9.033203125
1588.125,-9.70458984375
1602.25,-9.27734375
1616.375,-8.30078125
1630.5,-7.99560546875
1644.625,-9.82666015625
1658.75,-11.04736328125
1672.875,-11.65771484375
1687.0,-0.79345703125
1701.125,-13.3056640625
1715.25,-13.85498046875
1729.375,-14.892578125
1743.5,-16.7236328125
1757.625,-18.85986328125
1771.75,-19.53125
1785.875,-20.01953125
1800,-25.57373046875
1817.5625,-27.40478515625
1835.125,-32.470703125
1852.6875,-33.87451171875
1870.25,-34.66796875
1887.8125,-43.64013671875
1905.375,-45.59326171875
1922.9375,-52.79541015625
1940.5,-0.79345703125
1958.0625,-59.4482421875
1975.625,-63.3544921875
1993.1875,-66.83349609375
2010.75,-70.12939453125
2028.3125,-77.81982421875
2045.875,-80.6884765625
2063.4375,-83.31298828125
2081,8.72802734375
2105.75,16.54052734375
2130.5,38.63525390625
2155.25,51.025390625
2180.0,63.720703125
2204.75,81.97021484375
2229.5,87.7685546875
2254.25,93.32275390625
2279.0,-0.79345703125
2303.75,106.38427734375
2328.5,114.74609375
2353.25,122.6806640625
2378.0,129.5166015625
2402.75,141.05224609375
2427.5,146.728515625
2452.25,152.83203125
2477,163.63525390625
2491.0,168.3349609375
2505.0,171.32568359375
2519.0,156.55517578125
2533.0,169.37255859375
2547.0,166.44287109375
2561.0,163.26904296875
2575.0,159.3017578125
2589.0,-0.79345703125
2603.0,157.16552734375
2617.0,154.052734375
2631.0,146.6064453125
2645.0,143.49365234375
2659.0,140.5029296875
2673.0,131.40869140625
2687.0,123.046875
2701,108.5205078125
2707.9375,89.9658203125
2714.875,60.9130859375
2721.8125,49.01123046875
2728.75,33.203125
2735.6875,-8.30078125
2742.625,-29.6630859375
2749.5625,-50.23193359375
2756.5,-0.79345703125
2763.4375,-86.181640625
2770.375,-99.18212890625
2777.3125,-100.89111328125
2784.25,-73.73046875
2791.1875,-2.86865234375
2798.125,-18.37158203125
2805.0625,-48.4619140625
2812,-106.75048828125
2822.6875,-107.2998046875
2833.375,-92.71240234375
2844.0625,-64.3310546875
2854.75,-60.1806640625
2865.4375,-59.2041015625
2876.125,-57.373046875
2886.8125,-40.95458984375
2897.5,-0.79345703125
2908.1875,-30.70068359375
2918.875,-23.3154296875
2929.5625,-18.310546875
2940.25,-20.8740234375
2950.9375,-25.390625
2961.625,-30.57861328125
2972.3125,-32.1044921875
2983,-32.1044921875
2996.9375,-29.47998046875
3010.875,-16.7236328125
3024.8125,-9.82666015625
3038.75,-5.43212890625
3052.6875,-3.41796875
3066.625,-4.8828125
3080.5625,-7.01904296875
3094.5,-0.79345703125
3108.4375,-12.26806640625
3122.375,-13.85498046875
3136.3125,-14.6484375
3150.25,-13.85498046875
3164.1875,-8.97216796875
3178.125,-6.40869140625
3192.0625,-4.2724609375
3206,-7.01904296875
3213.125,-9.8876953125
3220.25,-12.6953125
3227.375,-14.95361328125
3234.5,-15.56396484375
3241.625,-16.2353515625
3248.75,-17.4560546875
3255.875,-19.8974609375
3263.0,-0.79345703125
3270.125,-19.95849609375
3277.25,-20.44677734375
3284.375,-22.216796875
3291.5,-22.88818359375
3298.625,-24.84130859375
3305.75,-32.5927734375
3312.875,-35.58349609375
3320,-37.841796875
3330.625,-39.1845703125
3341.25,-38.818359375
3351.875,-38.02490234375
3362.5,-37.9638671875
3373.125,-38.63525390625
3383.75,-39.306640625
3394.375,-40.34423828125
3405.0,-0.79345703125
3415.625,-42.05322265625
3426.25,-43.0908203125
3436.875,-43.39599609375
3447.5,-42.236328125
3458.125,-40.83251953125
3468.75,-41.93115234375
3479.375,-42.54150390625
